layout,variant,seed,step,b1_true,b1_hat,b1_conf,b1_correct,metric,decode_r2,n_cells
theta,,0,final,2,2,1.3250879805769724,1,0.6406726601351067,0.9971086883476931,276
theta,,1,0,2,1,1.0268630694275822,0,0.16405658812190632,0.7624568059288692,276
theta,,1,1000,2,1,1.2988789454443623,0,0.3145294412516597,0.9427717576613552,276
theta,,1,16000,2,1,1.4590810792400306,0,0.6158317272430944,0.9964062703457206,276
theta,,1,2000,2,1,1.436095379920593,0,0.4211107538565535,0.9686243161831489,276
theta,,1,250,2,1,1.0704187706666042,0,0.1344462732792711,0.5579464371403808,276
theta,,1,32000,2,1,1.3248454308389557,0,0.6344788398398019,0.9972380504489644,276
theta,,1,4000,2,1,1.329136644952405,0,0.5094951790421187,0.9911652122248249,276
theta,,1,500,2,1,1.0677141843515294,0,0.15521241776072509,0.8648419964010078,276
theta,,1,8000,2,1,1.33179485963407,0,0.5837177855312459,0.9958229795287767,276
theta,,1,80000,2,2,1.3196369147796607,1,0.6410253405427845,0.9978290575763576,276
theta,,1,final,2,2,1.3207309428549323,1,0.6411222727681609,0.9978436819828413,276
theta,,2,0,2,1,1.0406126567644804,0,0.16637929810618066,0.7377695267740577,276
theta,,2,1000,2,2,1.439876143380801,1,0.3384483836727351,0.9005472097856189,276
theta,,2,16000,2,1,1.8200234417583163,0,0.6339587855620132,0.9967503339158543,276
theta,,2,2000,2,3,1.3513112620047132,0,0.4078210021664001,0.9658768833024322,276
theta,,2,250,2,1,1.1632447447876704,0,0.1581196709722323,0.7197315079886912,276
theta,,2,32000,2,1,1.5850243972540794,0,0.6370021423857806,0.997167535997102,276
theta,,2,4000,2,1,1.3327119540051169,0,0.544620531922434,0.989758607763212,276
theta,,2,500,2,1,1.0857574581866916,0,0.19090179329882292,0.8641807661032036,276
theta,,2,8000,2,2,1.5197712673831407,1,0.6180117706654841,0.9959482328149815,276
theta,,2,80000,2,1,1.4334521582030806,0,0.6234833588269335,0.9978444789673582,276
theta,,2,final,2,1,1.4356583811411079,0,0.6234520297205662,0.9978129720063837,276
theta,,3,0,2,1,1.0758076171539022,0,0.2001459260420416,0.7658618842146374,276
theta,,3,1000,2,4,1.0810691594434816,0,0.28215367182641377,0.8656582388300397,276
theta,,3,16000,2,1,1.3531484572065229,0,0.6203919367598656,0.9974100125566917,276
theta,,3,2000,2,3,1.7089286869638793,0,0.4152341084294183,0.9651611537053941,276
theta,,3,250,2,1,1.101492995226425,0,0.12708335041596494,0.7050003021516823,276
theta,,3,32000,2,1,1.5684801066446477,0,0.644005792362041,0.9979354084455678,276
theta,,3,4000,2,1,1.4070634040157517,0,0.5354669434053138,0.9915947002207508,276
theta,,3,500,2,0,1.1313069278893002,0,0.1483231288039337,0.8327911456352807,276
theta,,3,8000,2,1,1.408590293949493,0,0.5900863806343003,0.9957020256310212,276
theta,,3,80000,2,1,1.230181178392718,0,0.6411970968658373,0.9976378840909421,276
theta,,3,final,2,1,1.2298279276064605,0,0.6409242231899074,0.9976430001668064,276
theta,,4,0,2,1,1.0179646959430282,0,0.21049008103349456,0.7591920717122933,276
theta,,4,1000,2,1,1.272471200481247,0,0.28119287219374833,0.9143815725082345,276
theta,,4,16000,2,1,1.813189906009296,0,0.6263142397875627,0.9968499922324527,276
theta,,4,2000,2,2,1.1630294324593913,1,0.40608285218780826,0.9623007524033138,276
theta,,4,250,2,1,1.0342992325927418,0,0.151617817162699,0.6860683954357529,276
theta,,4,32000,2,2,1.4981690189679637,1,0.6496716063443928,0.99756401280228,276
theta,,4,4000,2,2,1.4362103305482388,1,0.5217826108029647,0.9895705877450082,276
theta,,4,500,2,2,1.0430227908304481,1,0.16727041899245995,0.8281909214675272,276
