condition,encoding,seed,group,m1,m2,bi_frac,raw_m1,raw_m2,raw_bi_frac,n_tuned,n_units,n_cells_vis,best_shift,pred_shift,rot_gain,corr_pred,corr_none,local_m1
s4,full,6,c2,0.29946,0.21715,0.35646,0.30289,0.23093,0.36599,464,500,324,0,2,-0.90819,-0.22522,0.68297,0.35479
s4,full,6,c4,0.29946,0.21715,0.35646,0.30289,0.23093,0.36599,464,500,324,0,3,-0.70925,-0.03704,0.67221,0.39258
s4,full,7,c2,0.30035,0.21342,0.36188,0.30294,0.22615,0.37239,458,500,323,0,2,-0.92919,-0.2361,0.69309,0.3491
s4,full,7,c4,0.30035,0.21342,0.36188,0.30294,0.22615,0.37239,458,500,323,0,3,-0.69427,-0.0311,0.66317,0.3916
s4,full,8,c2,0.30681,0.22729,0.36897,0.30917,0.23543,0.37029,448,500,324,0,2,-0.8955,-0.20942,0.68609,0.34937
s4,full,8,c4,0.30681,0.22729,0.36897,0.30917,0.23543,0.37029,448,500,324,0,3,-0.69049,-0.03741,0.65308,0.38603
s4,full,9,c2,0.29648,0.2284,0.38506,0.3021,0.24686,0.39361,455,500,323,0,2,-0.86189,-0.17968,0.68222,0.34342
s4,full,9,c4,0.29648,0.2284,0.38506,0.3021,0.24686,0.39361,455,500,323,0,3,-0.70096,-0.04756,0.6534,0.38522
s4,axis,0,c2,0.00832,0.37025,0.99763,0.03986,0.37376,0.95169,369,500,324,2,2,0.81314,0.98726,0.17412,0.17579
s4,axis,0,c4,0.00832,0.37025,0.99763,0.03986,0.37376,0.95169,369,500,324,2,3,-0.31916,0.02577,0.34493,0.28933
s4,axis,1,c2,0.00887,0.36935,0.9932,0.03151,0.37292,0.96758,369,500,324,2,2,0.8221,0.98764,0.16554,0.17675
s4,axis,1,c4,0.00887,0.36935,0.9932,0.03151,0.37292,0.96758,369,500,324,2,3,-0.3095,0.02399,0.33348,0.2864
s4,axis,2,c2,0.00918,0.36668,0.99674,0.04022,0.36904,0.94894,346,500,324,2,2,0.88558,0.98175,0.09617,0.1867
s4,axis,2,c4,0.00918,0.36668,0.99674,0.04022,0.36904,0.94894,346,500,324,0,3,-0.22373,0.07332,0.29705,0.29497
s4,axis,3,c2,0.00826,0.36972,0.99762,0.04198,0.37069,0.93844,362,500,324,2,2,0.84748,0.98899,0.14152,0.18214
s4,axis,3,c4,0.00826,0.36972,0.99762,0.04198,0.37069,0.93844,362,500,324,2,3,-0.29778,0.03248,0.33026,0.28921
s4,axis,6,c2,0.00746,0.3688,0.99848,0.03024,0.36993,0.96858,342,500,324,2,2,0.83696,0.9802,0.14324,0.1758
s4,axis,6,c4,0.00746,0.3688,0.99848,0.03024,0.36993,0.96858,342,500,324,0,3,-0.28984,0.03413,0.32397,0.2905
s4,axis,7,c2,0.00863,0.36656,0.99815,0.02749,0.36944,0.97354,349,500,323,2,2,0.87054,0.98944,0.1189,0.1812
