condition,hd_mode,k,seed,group,chance,phase_acc,raw_r2,domain_r2,spatial,path
s1,parity,5,0,c2,0.5,0.9747038101850247,0.9776658058166504,0.8623460531234741,0.9776658058166504,/root/runs/hd_invariance/s1/parity/seed_00/ckpt_final.pt
s1,parity,5,1,c2,0.5,0.967686797376869,0.9819994807243347,0.8824002861976623,0.9819994807243347,/root/runs/hd_invariance/s1/parity/seed_01/ckpt_final.pt
s1,parity,5,2,c2,0.5,0.9715928882833401,0.9769256591796875,0.8832190155982971,0.9769256591796875,/root/runs/hd_invariance/s1/parity/seed_02/ckpt_final.pt
s1,parity,5,3,c2,0.5,0.9732862274593987,0.9787922263145447,0.8850219130516053,0.9787922263145447,/root/runs/hd_invariance/s1/parity/seed_03/ckpt_final.pt
s1,parity,5,4,c2,0.5,0.9735080481432551,0.9785363912582398,0.8784817099571228,0.9785363912582398,/root/runs/hd_invariance/s1/parity/seed_04/ckpt_final.pt
s1,parity,5,5,c2,0.5,0.9694797020603897,0.9786724090576172,0.8608353734016418,0.9786724090576172,/root/runs/hd_invariance/s1/parity/seed_05/ckpt_final.pt
s1,parity,5,6,c2,0.5,0.9682942375971869,0.9797632694244385,0.8674925088882446,0.9797632694244385,/root/runs/hd_invariance/s1/parity/seed_06/ckpt_final.pt
s1,parity,5,7,c2,0.5,0.9735605659852331,0.9786072969436646,0.8887223839759827,0.9786072969436646,/root/runs/hd_invariance/s1/parity/seed_07/ckpt_final.pt
s1,parity,5,8,c2,0.5,0.972950378166223,0.9799891710281372,0.8766096830368042,0.9799891710281372,/root/runs/hd_invariance/s1/parity/seed_08/ckpt_final.pt
s1,parity,5,9,c2,0.5,0.9711664325952866,0.8110137462615967,0.48533313274383544,0.8110137462615967,/root/runs/hd_invariance/s1/parity/seed_09/ckpt_final.pt
s2,axis,5,0,c2,0.5,0.5589427545028791,-0.0886769413948059,0.9124882459640503,0.9124882459640503,/root/runs/hd_invariance/s2/axis/seed_00/ckpt_final.pt
s2,axis,5,1,c2,0.5,0.5450935112316879,-0.07247554659843444,0.9124365329742432,0.9124365329742432,/root/runs/hd_invariance/s2/axis/seed_01/ckpt_final.pt
s2,axis,5,2,c2,0.5,0.5542855472965609,-0.13758951425552368,0.9146111130714416,0.9146111130714416,/root/runs/hd_invariance/s2/axis/seed_02/ckpt_final.pt
s2,axis,5,3,c2,0.5,0.548866393061018,-0.17201173305511475,0.9146734595298767,0.9146734595298767,/root/runs/hd_invariance/s2/axis/seed_03/ckpt_final.pt
s2,axis,5,4,c2,0.5,0.552314891057242,-0.06708084344863892,0.921591293811798,0.921591293811798,/root/runs/hd_invariance/s2/axis/seed_04/ckpt_final.pt
s2,axis,5,5,c2,0.5,0.5565529484288144,-0.100733482837677,0.9194850564002991,0.9194850564002991,/root/runs/hd_invariance/s2/axis/seed_05/ckpt_final.pt
