condition,hd_mode,k,seed,step,P0,P1,P2,P3,RA,odd,path
s4,full,5,7,final,0.32523003273039347,0.2293984301361373,0.21597310699733227,0.2293984301361373,0.10925692573306116,0.4587968602722746,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s4/full/seed_07/ckpt_final.pt
s4,full,5,8,final,0.3193396860134674,0.23351022424060794,0.21363986550531633,0.23351022424060794,0.10569982050815112,0.4670204484812159,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s4/full/seed_08/ckpt_final.pt
s4,full,5,9,final,0.32527138878045153,0.23002313034054814,0.21468235053845247,0.23002313034054814,0.110589038241999,0.4600462606810963,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s4/full/seed_09/ckpt_final.pt
s4,parity,5,0,final,0.3902351390031686,0.21827724790288883,0.17321036519105387,0.21827724790288883,0.2170247738121147,0.43655449580577765,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s4/parity/seed_00/ckpt_final.pt
s4,parity,5,1,final,0.38199843519040094,0.22189026931540565,0.17422102617878749,0.22189026931540565,0.2077774090116135,0.4437805386308113,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s4/parity/seed_01/ckpt_final.pt
s4,parity,5,2,final,0.39135979741196936,0.2172847188533455,0.17407076488133932,0.2172847188533455,0.2172890325306301,0.434569437706691,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s4/parity/seed_02/ckpt_final.pt
s4,parity,5,3,final,0.38624731356474995,0.21929026598366816,0.17517215446791354,0.21929026598366816,0.21107515909683644,0.4385805319673363,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s4/parity/seed_03/ckpt_final.pt
s4,parity,5,6,final,0.3857794539712349,0.21932385053971334,0.17557284494933845,0.21932385053971334,0.21020660902189647,0.4386477010794267,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s4/parity/seed_06/ckpt_final.pt
s4,parity,5,7,final,0.3916394655641806,0.2170176368456411,0.17432526074453733,0.2170176368456411,0.21731420481964323,0.4340352736912822,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s4/parity/seed_07/ckpt_final.pt
s4,parity,5,8,final,0.3919694980362982,0.2166018235198701,0.17482685492396133,0.2166018235198701,0.21714264311233694,0.4332036470397402,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s4/parity/seed_08/ckpt_final.pt
s4,parity,5,9,final,0.38932460087626497,0.2189229588126396,0.1728294814984561,0.2189229588126396,0.21649511937780883,0.4378459176252792,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s4/parity/seed_09/ckpt_final.pt
