condition,seed,steps,srsa_euclid,srsa_city,loss,manifold_id,pca_variance_2d,mds_stress,mean_field_coherence,DTG_series,observation_discriminability
S2,seed_01,51000,0.6648220691664019,0.6730342827536545,0.0022713823709636927,5.0824975864870305,0.32771041989326477,0.3922185327524522,8.42217423411893,-0.00821221358725266,0.33600394439152487
S2,seed_01,52000,0.6607652241135207,0.6729188894654392,0.0029255179688334465,5.727676533642945,0.3424891233444214,0.37601035138337885,7.137257756945756,-0.01215366535191853,0.33600394439152487
S2,seed_01,53000,0.6699547010665708,0.677347898615508,0.0027798612136393785,5.427429053089816,0.3249781131744385,0.3936932649145794,8.144544616955374,-0.0073931975489371915,0.33600394439152487
S2,seed_01,54000,0.6651419814781101,0.6792201693891687,0.0021805642172694206,5.150044437818016,0.33311235904693604,0.38365523629136034,7.88989534444208,-0.014078187911058637,0.33600394439152487
S2,seed_01,55000,0.6549586349659605,0.669743649099073,0.0021918986458331347,5.786497900425416,0.3357408940792084,0.3781225690506745,7.38872161264115,-0.014785014133112506,0.33600394439152487
S2,seed_01,56000,0.6624797766122987,0.6769621257787635,0.002530690748244524,5.989443545065851,0.33418092131614685,0.38520527273388006,11.446686680896326,-0.014482349166464736,0.33600394439152487
S2,seed_01,57000,0.6597356154740743,0.6684543280690437,0.002337619662284851,5.431814984551987,0.33576226234436035,0.38172195272716625,7.397153877399352,-0.008718712594969369,0.33600394439152487
S2,seed_01,58000,0.6572087235911109,0.6647034602260391,0.0021743744146078825,5.572333320544828,0.3350602090358734,0.379797807602048,7.511334935433961,-0.0074947366349281674,0.33600394439152487
S2,seed_01,59000,0.6664804226909425,0.6768294723168998,0.0024421403650194407,5.170083992082879,0.3272457420825958,0.39114510003009284,8.225928612094995,-0.010349049625957285,0.33600394439152487
S2,seed_01,60000,0.6574581135419529,0.6688060160822259,0.0023898989893496037,5.605076839478122,0.3280066251754761,0.3898308829195935,9.526182735934093,-0.011347902540272958,0.33600394439152487
S2,seed_01,61000,0.6680609556625363,0.6782391408276395,0.0020108679309487343,5.493009165396507,0.3332439661026001,0.382097499015825,6.703347822187903,-0.01017818516510316,0.33600394439152487
S2,seed_01,62000,0.6424980035194907,0.6562194151776053,0.002017074963077903,5.834694400966821,0.32468825578689575,0.3883107594016152,7.289180722752654,-0.01372141165811458,0.33600394439152487
